SaleId,fecha_hora,Total,TotalRefound,SaleReturned,Sucursal,Fecha
1,2023-11-03 12:31:44,25,0,False,Bolsa de plástico grande,2023-11-03
2,2023-11-03 20:54:50,18,0,False,Bolsa de plástico mediana,2023-11-03
3,2023-11-03 13:09:04,40,0,False,Platos desechables 50 pzas,2023-11-03
4,2023-11-03 04:50:54,45,0,False,Vasos desechables 50 pzas,2023-11-03
5,2023-11-03 16:37:33,10,0,False,Sopa de pasta,2023-11-03
6,2023-11-03 08:18:52,18,0,False,Bolsa de plástico mediana,2023-11-03
7,2023-11-03 11:35:55,18,0,False,Atún en lata,2023-11-03
8,2023-11-03 23:27:47,12,0,False,Bolsa de plástico chica,2023-11-03
9,2023-11-03 06:57:26,49,0,False,Aceite vegetal 1L,2023-11-03
10,2023-11-03 17:34:55,25,0,False,Bolsa de plástico grande,2023-11-03
11,2023-11-03 07:50:51,45,0,False,Vasos desechables 50 pzas,2023-11-03
12,2023-11-03 21:27:28,28,0,False,Servilletas paquete,2023-11-03
13,2023-11-03 16:25:36,18,0,False,Bolsa de plástico mediana,2023-11-03
14,2023-11-03 04:08:19,55,0,False,Cubiertos desechables 100 pzas,2023-11-03
15,2023-11-03 23:17:50,55,0,False,Cubiertos desechables 100 pzas,2023-11-03
16,2023-11-03 16:53:47,55,0,False,Cubiertos desechables 100 pzas,2023-11-03
17,2023-11-03 12:05:06,26,0,False,Azúcar 1kg,2023-11-03
18,2023-11-03 01:20:35,18,0,False,Atún en lata,2023-11-03
19,2023-11-03 02:24:43,25,0,False,Bolsa de plástico grande,2023-11-03
20,2023-11-03 04:40:54,28,0,False,Arroz 1kg,2023-11-03
21,2023-11-03 12:58:14,18,0,False,Bolsa de plástico mediana,2023-11-03
22,2023-11-03 03:35:08,55,0,False,Cubiertos desechables 100 pzas,2023-11-03
23,2023-11-03 14:14:03,28,0,False,Servilletas paquete,2023-11-03
24,2023-11-03 18:57:16,18,0,False,Bolsa de plástico mediana,2023-11-03
25,2023-11-03 02:38:42,25,0,False,Bolsa de plástico grande,2023-11-03
26,2023-11-03 15:05:14,12,0,False,Bolsa de plástico chica,2023-11-03
27,2023-11-03 17:41:43,49,0,False,Aceite vegetal 1L,2023-11-03
28,2023-11-03 23:19:26,25,0,False,Bolsa de plástico grande,2023-11-03
